year,area,latitude,longitude,outbreak,file_name,study
2011,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
2012,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
2013,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
2014,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
2015,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1761,maine,43.6610277,-70.2548596,0,Elliot 1960.pdf,5
1762,maine,43.6610277,-70.2548596,1,Elliot 1960.pdf,5
1763,maine,43.6610277,-70.2548596,0,Elliot 1960.pdf,5
1708,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1709,northern interior maine,46.6832082,-68.0141431,1,Elliot 1960.pdf,5
1709,northern interior maine,46.6832082,-68.0141431,1,Elliot 1960.pdf,5
1710,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1711,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1712,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1713,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1714,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1715,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1716,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1717,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1718,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1719,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1720,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1721,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1722,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1723,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1724,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1725,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1726,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1727,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1728,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1729,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1730,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1731,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1732,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1733,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1734,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1735,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1736,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1737,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1738,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1739,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1740,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1741,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1742,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1743,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1744,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1745,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1746,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1747,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1748,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1749,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1750,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1751,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1752,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1753,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1754,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1755,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1756,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1757,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1758,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1759,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1760,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1761,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1762,northern interior maine,46.6832082,-68.0141431,1,Elliot 1960.pdf,5
1762,northern interior maine,46.6832082,-68.0141431,1,Elliot 1960.pdf,5
1763,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1764,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
1765,northern interior maine,46.6832082,-68.0141431,0,Elliot 1960.pdf,5
